Account Code,Storage Branch,Account Description,Barcode,Alternate Code,Long Description,Contents,Object Code,Description,Add Date,Item Status,Status Date,Destroy Date,Perm Flag,Container Barcode,From Date,To Date,User Field 1,User Field 2,User Field 3,User Field 4,User Date,Access Count
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278002,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278003,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278004,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278005,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278006,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278007,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278008,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278009,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278010,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278011,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278012,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278013,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278014,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278015,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278016,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278017,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278018,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278019,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278020,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278021,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278022,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278023,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278024,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278025,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278026,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278027,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278028,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278029,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278030,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278031,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278032,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278033,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278034,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01278035,,,,C01,,2013-11-25,In,2013-11-25,,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291353,PEN163,JST/ISJSC 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291350,PEN166,JST/ISJSC 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291360,PEN156,12M+ FILES 2009 RH0668,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291363,PEN153,12M+ FILES RH0668,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291343,PEN173,UNDER 12MTH 2008 - 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291346,PEN170,JST/ISJSC 2007 - 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291355,PEN161,UNDER 12MTHS 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291359,PEN157,12M+ 2009 RH0668 AND MISCELLANEOUS,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291358,PEN158,JST/ISJSC 200912M+ 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291344,PEN172,JST/ISJSC 2007 - 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291347,PEN169,JST/ISJSC,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291357,PEN159,JST/ISJSC 200912M+ 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291349,PEN167,JST/ISJSC 2007 - 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291351,PEN165,JST/ISJSC 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291364,PEN152,ISCA FILES 2007,,C01,,2009-06-25,In,2009-06-25,2015-12-31 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291356,PEN160,JST JOHN MITCHELL 2008,,C01,,2009-06-25,In,2009-06-25,2015-12-31 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291362,PEN154,12M+FILES RH0668 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291361,PEN155,UNDER 12M FILES 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291345,PEN171,JST/ISJSC,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
SYDN1445,Sydney,The Salvation Army Employment Plus,SYD01291354,PEN162,JST/ISJSC 2009,,C01,,2009-06-25,In,2009-06-25,2016-06-24 00:00:00,No,,,,,,,,,0
